ID	Gender	Age	Race	What is the person doing	Group	Number of people in the group	Where was the person sleeping/ observed?	Street Name	Area	X               GPS Co ordinate	Y                  GPS Co ordinate
P989	Male	26-35	Coloured	Sleeping	Yes	3	Pavement	Victoria Cr	Tokai	18,44001556	-34,06457536
P9810	Male	36-45	Coloured	Sleeping	Yes	3	Pavement	Victoria Cr	Tokai	18,44001556	-34,06457536
P988	Male	26-35	Coloured	Strolling	Yes	3	Pavement	Victoria Cr	Tokai	18,44001556	-34,06457536
P9812	Male	26-35	Coloured	Sleeping	Yes	3	Park	Oakley Ave	Tokai	18,44048775	-34,06525139
P9813	Male	18-25	Coloured	Sleeping	Yes	3	Park	Oakley Ave	Tokai	18,44048775	-34,06525139
P9814	Male	18-25	Coloured	Sleeping	Yes	3	Park	Oakley Ave	Tokai	18,44048775	-34,06525139
P9811	Male	36-45	Coloured	Strolling	No	1	Pavement	Oakley Ave	Tokai	18,44048775	-34,06525139
P996	Female	36-45	Black African	Skarelling	Yes	1	Pavement	Greenwood Walk	Tokai	18,44317593	-34,0620264
P993	Male	36-45	Coloured	Strolling	Yes	3	Pavement	Greenwood Walk	Tokai	18,44317593	-34,0620264
P994	Male	18-25	Coloured	Strolling	Yes	3	Pavement	Greenwood Walk	Tokai	18,44317593	-34,0620264
P995	Male	46-55	Coloured	Strolling	Yes	3	Pavement	Greenwood Walk	Tokai	18,44317593	-34,0620264
P9822	Male	36-45	Coloured	Skarelling	No	1	Pavement	Glenngie Ave	Tokai	18,44335939	-34,06483987
P9823	Male	36-45	Coloured	Skarelling	No	1	Pavement	Glenngie Ave	Tokai	18,44335939	-34,06483987
P9825	Male	26-35	Coloured	Skarelling	No	1	Pavement	Glenngie Ave	Tokai	18,44335939	-34,06483987
P9819	Male	26-35	Coloured	Strolling	Yes	3	Pavement	Birchwood La	Tokai	18,44403717	-34,06143706
P9820	Male	26-35	Coloured	Strolling	Yes	3	Pavement	Birchwood La	Tokai	18,44403717	-34,06143706
P9821	Male	26-35	Coloured	Strolling	Yes	3	Pavement	Birchwood La	Tokai	18,44403717	-34,06143706
P991	Male	36-45	Coloured	Skarelling	No	1	Pavement	Youngs Way	Tokai	18,44427463	-34,06436862
P992	Male	26-35	Black African	Skarelling	No	1	Park	Youngs Way	Tokai	18,44427463	-34,06436862
P9110	Male	46-55	Black African	Sleeping	No	1	Pavement	Keyser River Dr	Dreyersdal	18,45138759	-34,06400927
P917	Female	26-35	Coloured	Strolling	No	1	Pavement	Keyser River Dr	Dreyersdal	18,45138759	-34,06400927
P918	Female	26-35	Black African	Strolling	No	1	Pavement	Keyser River Dr	Dreyersdal	18,45138759	-34,06400927
P919	Male	36-45	Black African	Strolling	No	1	Pavement	Keyser River Dr	Dreyersdal	18,45138759	-34,06400927
P911	Male	26-35	Coloured	Strolling	Yes	2	Bush	Tokai Road	Dreyersdal	18,45220528	-34,0648385
P912	Female	26-35	Coloured	Strolling	Yes	2	Bush	Tokai Road	Dreyersdal	18,45220528	-34,0648385
P913	Male	18-25	Black African	Strolling	No	1	Bush	Tokai Road	Dreyersdal	18,45220528	-34,0648385
P914	Male	26-35	Black African	Strolling	No	1	Bush	Tokai Road	Dreyersdal	18,45220528	-34,0648385
P915	Male	26-35	Black African	Strolling	No	1	Pavement	Tokai Road	Dreyersdal	18,45220528	-34,0648385
